id,ac_no,topic_id,title
28065,3,111,Women voters of Narkatiaganj demand better primary healthcare and clean water
28066,3,-1,Economic survey reports positive growth in Narkatiaganj assembly segment
28067,3,111,Women voters of Narkatiaganj demand better primary healthcare and clean water
28068,3,-1,High stakes battle in Narkatiaganj as rival candidates file affidavits
28069,3,-1,Voter turnout expected to touch record highs in Narkatiaganj
28070,3,-1,High stakes battle in Narkatiaganj as rival candidates file affidavits
28071,3,105,Flood protection works in Narkatiaganj inspected by state cabinet delegation
28072,3,17,Independent candidates emerge as spoilers in Narkatiaganj triangular contest
28073,4,140,Voter turnout expected to touch record highs in Bagaha
28074,4,104,Women voters of Bagaha demand better primary healthcare and clean water
28075,4,140,Voter turnout expected to touch record highs in Bagaha
28076,4,137,High stakes battle in Bagaha as rival candidates file affidavits
28077,4,137,High stakes battle in Bagaha as rival candidates file affidavits
28078,4,0,Bihar Elections 2025: Key issues dominate debates in Bagaha
28079,4,104,Women voters of Bagaha demand better primary healthcare and clean water
28080,4,64,Independent candidates emerge as spoilers in Bagaha triangular contest
28081,4,34,Political rally in Bagaha draws massive crowds ahead of voting day
28082,4,5,Flood protection works in Bagaha inspected by state cabinet delegation
28083,4,9,Economic survey reports positive growth in Bagaha assembly segment
28084,4,34,Political rally in Bagaha draws massive crowds ahead of voting day
28085,4,1,Welfare scheme execution becomes election issue in Bagaha
28086,4,137,High stakes battle in Bagaha as rival candidates file affidavits
28087,4,140,Voter turnout expected to touch record highs in Bagaha
28088,4,9,Economic survey reports positive growth in Bagaha assembly segment
28089,4,5,Flood protection works in Bagaha inspected by state cabinet delegation
28090,4,1,Welfare scheme execution becomes election issue in Bagaha
28091,4,140,Voter turnout expected to touch record highs in Bagaha
28092,4,1,Welfare scheme execution becomes election issue in Bagaha
28093,4,137,High stakes battle in Bagaha as rival candidates file affidavits
28094,4,137,High stakes battle in Bagaha as rival candidates file affidavits
28095,5,126,Voter turnout expected to touch record highs in Lauriya
28096,5,9,Economic survey reports positive growth in Lauriya assembly segment
28097,5,34,Political rally in Lauriya draws massive crowds ahead of voting day
28098,5,8,Bihar Elections 2025: Key issues dominate debates in Lauriya
28099,5,64,Independent candidates emerge as spoilers in Lauriya triangular contest
28100,5,-1,Flood protection works in Lauriya inspected by state cabinet delegation
28101,5,-1,Flood protection works in Lauriya inspected by state cabinet delegation
28102,5,34,Political rally in Lauriya draws massive crowds ahead of voting day
28103,5,8,Bihar Elections 2025: Key issues dominate debates in Lauriya
28104,5,104,Women voters of Lauriya demand better primary healthcare and clean water
28105,5,-1,Flood protection works in Lauriya inspected by state cabinet delegation
28106,5,126,Voter turnout expected to touch record highs in Lauriya
28107,5,-1,Flood protection works in Lauriya inspected by state cabinet delegation
28108,5,8,Bihar Elections 2025: Key issues dominate debates in Lauriya
28109,5,34,Political rally in Lauriya draws massive crowds ahead of voting day
28110,5,64,Independent candidates emerge as spoilers in Lauriya triangular contest
28211,9,-1,Welfare scheme execution becomes election issue in Sikta
28212,9,106,Flood protection works in Sikta inspected by state cabinet delegation
28213,9,-1,Women voters of Sikta demand better primary healthcare and clean water
28214,9,-1,Economic survey reports positive growth in Sikta assembly segment
28215,9,144,Bihar Elections 2025: Key issues dominate debates in Sikta
28216,9,-1,Women voters of Sikta demand better primary healthcare and clean water
28217,9,-1,Economic survey reports positive growth in Sikta assembly segment
28218,10,-1,Voter turnout expected to touch record highs in Raxaul
28111,6,111,Women voters of Nautan demand better primary healthcare and clean water
28112,6,57,Welfare scheme execution becomes election issue in Nautan
28113,6,111,Women voters of Nautan demand better primary healthcare and clean water
28114,6,83,Independent candidates emerge as spoilers in Nautan triangular contest
28115,6,37,Voter turnout expected to touch record highs in Nautan
28116,6,93,High stakes battle in Nautan as rival candidates file affidavits
28117,6,28,Bihar Elections 2025: Key issues dominate debates in Nautan
28118,6,29,Economic survey reports positive growth in Nautan assembly segment
28119,6,37,Voter turnout expected to touch record highs in Nautan
28120,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28121,6,127,Political rally in Nautan draws massive crowds ahead of voting day
28122,6,29,Economic survey reports positive growth in Nautan assembly segment
28123,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28124,6,93,High stakes battle in Nautan as rival candidates file affidavits
28125,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28126,6,57,Welfare scheme execution becomes election issue in Nautan
28127,6,127,Political rally in Nautan draws massive crowds ahead of voting day
28128,6,127,Political rally in Nautan draws massive crowds ahead of voting day
28129,6,83,Independent candidates emerge as spoilers in Nautan triangular contest
28130,6,29,Economic survey reports positive growth in Nautan assembly segment
28131,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28132,6,28,Bihar Elections 2025: Key issues dominate debates in Nautan
28133,6,37,Voter turnout expected to touch record highs in Nautan
28134,6,37,Voter turnout expected to touch record highs in Nautan
28135,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28136,6,28,Bihar Elections 2025: Key issues dominate debates in Nautan
28137,6,83,Independent candidates emerge as spoilers in Nautan triangular contest
28138,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28139,6,5,Flood protection works in Nautan inspected by state cabinet delegation
28140,7,-1,Women voters of Chanpatia demand better primary healthcare and clean water
28141,7,95,Welfare scheme execution becomes election issue in Chanpatia
28142,7,-1,Women voters of Chanpatia demand better primary healthcare and clean water
28143,7,95,Welfare scheme execution becomes election issue in Chanpatia
28144,7,-1,Women voters of Chanpatia demand better primary healthcare and clean water
28145,7,64,Independent candidates emerge as spoilers in Chanpatia triangular contest
28146,7,-1,Women voters of Chanpatia demand better primary healthcare and clean water
28147,7,82,Flood protection works in Chanpatia inspected by state cabinet delegation
28148,7,64,Independent candidates emerge as spoilers in Chanpatia triangular contest
28149,7,126,Voter turnout expected to touch record highs in Chanpatia
28150,7,82,Flood protection works in Chanpatia inspected by state cabinet delegation
28151,7,64,Independent candidates emerge as spoilers in Chanpatia triangular contest
28152,7,138,High stakes battle in Chanpatia as rival candidates file affidavits
28153,7,0,Bihar Elections 2025: Key issues dominate debates in Chanpatia
28154,7,126,Voter turnout expected to touch record highs in Chanpatia
28155,7,-1,Women voters of Chanpatia demand better primary healthcare and clean water
28156,7,126,Voter turnout expected to touch record highs in Chanpatia
28157,7,9,Economic survey reports positive growth in Chanpatia assembly segment
28158,7,64,Independent candidates emerge as spoilers in Chanpatia triangular contest
28159,7,9,Economic survey reports positive growth in Chanpatia assembly segment
28160,7,34,Political rally in Chanpatia draws massive crowds ahead of voting day
28161,7,138,High stakes battle in Chanpatia as rival candidates file affidavits
28162,7,95,Welfare scheme execution becomes election issue in Chanpatia
28163,7,0,Bihar Elections 2025: Key issues dominate debates in Chanpatia
28164,7,82,Flood protection works in Chanpatia inspected by state cabinet delegation
28165,7,138,High stakes battle in Chanpatia as rival candidates file affidavits
28166,7,9,Economic survey reports positive growth in Chanpatia assembly segment
28167,8,65,Independent candidates emerge as spoilers in Bettiah triangular contest
28168,8,52,Voter turnout expected to touch record highs in Bettiah
28169,8,-1,Political rally in Bettiah draws massive crowds ahead of voting day
28170,8,125,Economic survey reports positive growth in Bettiah assembly segment
28171,8,12,High stakes battle in Bettiah as rival candidates file affidavits
28172,8,52,Voter turnout expected to touch record highs in Bettiah
28173,8,125,Economic survey reports positive growth in Bettiah assembly segment
28174,8,65,Independent candidates emerge as spoilers in Bettiah triangular contest
28175,8,0,Bihar Elections 2025: Key issues dominate debates in Bettiah
28176,8,52,Voter turnout expected to touch record highs in Bettiah
28177,8,-1,Political rally in Bettiah draws massive crowds ahead of voting day
28178,8,12,High stakes battle in Bettiah as rival candidates file affidavits
28179,8,12,High stakes battle in Bettiah as rival candidates file affidavits
28180,8,42,Women voters of Bettiah demand better primary healthcare and clean water
28181,8,139,Welfare scheme execution becomes election issue in Bettiah
28182,8,125,Economic survey reports positive growth in Bettiah assembly segment
28183,8,139,Welfare scheme execution becomes election issue in Bettiah
28184,8,0,Bihar Elections 2025: Key issues dominate debates in Bettiah
28185,8,42,Women voters of Bettiah demand better primary healthcare and clean water
28186,8,42,Women voters of Bettiah demand better primary healthcare and clean water
28187,8,0,Bihar Elections 2025: Key issues dominate debates in Bettiah
28188,8,42,Women voters of Bettiah demand better primary healthcare and clean water
28189,8,82,Flood protection works in Bettiah inspected by state cabinet delegation
28190,8,-1,Political rally in Bettiah draws massive crowds ahead of voting day
28191,9,-1,Women voters of Sikta demand better primary healthcare and clean water
28192,9,-1,High stakes battle in Sikta as rival candidates file affidavits
28193,9,-1,Independent candidates emerge as spoilers in Sikta triangular contest
28194,9,-1,High stakes battle in Sikta as rival candidates file affidavits
28195,9,-1,Economic survey reports positive growth in Sikta assembly segment
28196,9,-1,Welfare scheme execution becomes election issue in Sikta
28197,9,-1,High stakes battle in Sikta as rival candidates file affidavits
28198,9,106,Flood protection works in Sikta inspected by state cabinet delegation
28199,9,106,Flood protection works in Sikta inspected by state cabinet delegation
28200,9,-1,Economic survey reports positive growth in Sikta assembly segment
28201,9,-1,Political rally in Sikta draws massive crowds ahead of voting day
28202,9,-1,Welfare scheme execution becomes election issue in Sikta
28203,9,-1,Political rally in Sikta draws massive crowds ahead of voting day
28204,9,144,Bihar Elections 2025: Key issues dominate debates in Sikta
28205,9,-1,Voter turnout expected to touch record highs in Sikta
28206,9,-1,Voter turnout expected to touch record highs in Sikta
28207,9,-1,Economic survey reports positive growth in Sikta assembly segment
28208,9,-1,Voter turnout expected to touch record highs in Sikta
28209,9,-1,Political rally in Sikta draws massive crowds ahead of voting day
28210,9,-1,High stakes battle in Sikta as rival candidates file affidavits
28311,13,115,Women voters of Harsidhi demand better primary healthcare and clean water
28312,14,17,Independent candidates emerge as spoilers in Govindganj triangular contest
28313,14,105,Flood protection works in Govindganj inspected by state cabinet delegation
28314,14,15,Welfare scheme execution becomes election issue in Govindganj
28315,14,11,Bihar Elections 2025: Key issues dominate debates in Govindganj
28316,14,11,Bihar Elections 2025: Key issues dominate debates in Govindganj
28317,14,74,High stakes battle in Govindganj as rival candidates file affidavits
28318,14,36,Economic survey reports positive growth in Govindganj assembly segment
28319,14,11,Bihar Elections 2025: Key issues dominate debates in Govindganj
28320,14,21,Political rally in Govindganj draws massive crowds ahead of voting day
28219,10,69,Independent candidates emerge as spoilers in Raxaul triangular contest
28220,10,143,Welfare scheme execution becomes election issue in Raxaul
28221,10,53,Economic survey reports positive growth in Raxaul assembly segment
28222,10,69,Independent candidates emerge as spoilers in Raxaul triangular contest
28223,10,89,High stakes battle in Raxaul as rival candidates file affidavits
28224,10,89,High stakes battle in Raxaul as rival candidates file affidavits
28225,10,62,Political rally in Raxaul draws massive crowds ahead of voting day
28226,10,89,High stakes battle in Raxaul as rival candidates file affidavits
28227,10,82,Flood protection works in Raxaul inspected by state cabinet delegation
28228,10,143,Welfare scheme execution becomes election issue in Raxaul
28229,10,-1,Voter turnout expected to touch record highs in Raxaul
28230,10,-1,Voter turnout expected to touch record highs in Raxaul
28231,10,143,Welfare scheme execution becomes election issue in Raxaul
28232,10,82,Flood protection works in Raxaul inspected by state cabinet delegation
28233,10,63,Women voters of Raxaul demand better primary healthcare and clean water
28234,10,69,Independent candidates emerge as spoilers in Raxaul triangular contest
28235,10,62,Political rally in Raxaul draws massive crowds ahead of voting day
28236,10,82,Flood protection works in Raxaul inspected by state cabinet delegation
28237,10,62,Political rally in Raxaul draws massive crowds ahead of voting day
28238,10,63,Women voters of Raxaul demand better primary healthcare and clean water
28239,10,89,High stakes battle in Raxaul as rival candidates file affidavits
28240,10,63,Women voters of Raxaul demand better primary healthcare and clean water
28241,11,63,Women voters of Sugauli demand better primary healthcare and clean water
28242,11,-1,Flood protection works in Sugauli inspected by state cabinet delegation
28243,11,-1,Voter turnout expected to touch record highs in Sugauli
28244,11,-1,Flood protection works in Sugauli inspected by state cabinet delegation
28245,11,143,Welfare scheme execution becomes election issue in Sugauli
28246,11,-1,Voter turnout expected to touch record highs in Sugauli
28247,11,-1,Voter turnout expected to touch record highs in Sugauli
28248,11,62,Political rally in Sugauli draws massive crowds ahead of voting day
28249,11,-1,Flood protection works in Sugauli inspected by state cabinet delegation
28250,11,143,Welfare scheme execution becomes election issue in Sugauli
28251,11,-1,Flood protection works in Sugauli inspected by state cabinet delegation
28252,11,62,Political rally in Sugauli draws massive crowds ahead of voting day
28253,11,53,Economic survey reports positive growth in Sugauli assembly segment
28254,11,62,Political rally in Sugauli draws massive crowds ahead of voting day
28255,11,28,Bihar Elections 2025: Key issues dominate debates in Sugauli
28256,11,53,Economic survey reports positive growth in Sugauli assembly segment
28257,11,62,Political rally in Sugauli draws massive crowds ahead of voting day
28258,11,89,High stakes battle in Sugauli as rival candidates file affidavits
28259,11,62,Political rally in Sugauli draws massive crowds ahead of voting day
28260,11,28,Bihar Elections 2025: Key issues dominate debates in Sugauli
28261,11,143,Welfare scheme execution becomes election issue in Sugauli
28262,11,28,Bihar Elections 2025: Key issues dominate debates in Sugauli
28263,11,63,Women voters of Sugauli demand better primary healthcare and clean water
28264,12,29,Economic survey reports positive growth in Narkatiya assembly segment
28265,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28266,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28267,12,114,Political rally in Narkatiya draws massive crowds ahead of voting day
28268,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28269,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28270,12,93,High stakes battle in Narkatiya as rival candidates file affidavits
28271,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28272,12,37,Voter turnout expected to touch record highs in Narkatiya
28273,12,5,Flood protection works in Narkatiya inspected by state cabinet delegation
28274,12,111,Women voters of Narkatiya demand better primary healthcare and clean water
28275,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28276,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28277,12,93,High stakes battle in Narkatiya as rival candidates file affidavits
28278,12,114,Political rally in Narkatiya draws massive crowds ahead of voting day
28279,12,93,High stakes battle in Narkatiya as rival candidates file affidavits
28280,12,37,Voter turnout expected to touch record highs in Narkatiya
28281,12,93,High stakes battle in Narkatiya as rival candidates file affidavits
28282,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28283,12,29,Economic survey reports positive growth in Narkatiya assembly segment
28284,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28285,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28286,12,83,Independent candidates emerge as spoilers in Narkatiya triangular contest
28287,12,114,Political rally in Narkatiya draws massive crowds ahead of voting day
28288,12,37,Voter turnout expected to touch record highs in Narkatiya
28289,12,5,Flood protection works in Narkatiya inspected by state cabinet delegation
28290,12,28,Bihar Elections 2025: Key issues dominate debates in Narkatiya
28291,13,-1,High stakes battle in Harsidhi as rival candidates file affidavits
28292,13,115,Women voters of Harsidhi demand better primary healthcare and clean water
28293,13,-1,Independent candidates emerge as spoilers in Harsidhi triangular contest
28294,13,61,Voter turnout expected to touch record highs in Harsidhi
28295,13,27,Political rally in Harsidhi draws massive crowds ahead of voting day
28296,13,88,Flood protection works in Harsidhi inspected by state cabinet delegation
28297,13,88,Flood protection works in Harsidhi inspected by state cabinet delegation
28298,13,-1,High stakes battle in Harsidhi as rival candidates file affidavits
28299,13,115,Women voters of Harsidhi demand better primary healthcare and clean water
28300,13,27,Political rally in Harsidhi draws massive crowds ahead of voting day
28301,13,88,Flood protection works in Harsidhi inspected by state cabinet delegation
28302,13,115,Women voters of Harsidhi demand better primary healthcare and clean water
28303,13,-1,High stakes battle in Harsidhi as rival candidates file affidavits
28304,13,27,Political rally in Harsidhi draws massive crowds ahead of voting day
28305,13,-1,High stakes battle in Harsidhi as rival candidates file affidavits
28306,13,115,Women voters of Harsidhi demand better primary healthcare and clean water
28307,13,1,Welfare scheme execution becomes election issue in Harsidhi
28308,13,61,Voter turnout expected to touch record highs in Harsidhi
28309,13,27,Political rally in Harsidhi draws massive crowds ahead of voting day
28310,13,27,Political rally in Harsidhi draws massive crowds ahead of voting day
28411,18,95,Welfare scheme execution becomes election issue in Madhuban
28412,18,138,High stakes battle in Madhuban as rival candidates file affidavits
28413,18,95,Welfare scheme execution becomes election issue in Madhuban
28414,18,-1,Voter turnout expected to touch record highs in Madhuban
28415,18,-1,Voter turnout expected to touch record highs in Madhuban
28416,18,138,High stakes battle in Madhuban as rival candidates file affidavits
28417,18,-1,Flood protection works in Madhuban inspected by state cabinet delegation
28418,18,34,Political rally in Madhuban draws massive crowds ahead of voting day
28419,18,95,Welfare scheme execution becomes election issue in Madhuban
28420,19,-1,Women voters of Motihari demand better primary healthcare and clean water
28421,19,58,Bihar Elections 2025: Key issues dominate debates in Motihari
28422,19,13,Economic survey reports positive growth in Motihari assembly segment
28423,19,-1,Women voters of Motihari demand better primary healthcare and clean water
28424,19,-1,Flood protection works in Motihari inspected by state cabinet delegation
28425,19,137,High stakes battle in Motihari as rival candidates file affidavits
28426,19,97,Independent candidates emerge as spoilers in Motihari triangular contest
28427,19,97,Independent candidates emerge as spoilers in Motihari triangular contest
28428,19,137,High stakes battle in Motihari as rival candidates file affidavits
28321,14,17,Independent candidates emerge as spoilers in Govindganj triangular contest
28322,14,74,High stakes battle in Govindganj as rival candidates file affidavits
28323,14,15,Welfare scheme execution becomes election issue in Govindganj
28324,14,105,Flood protection works in Govindganj inspected by state cabinet delegation
28325,14,15,Welfare scheme execution becomes election issue in Govindganj
28326,14,6,Women voters of Govindganj demand better primary healthcare and clean water
28327,14,20,Voter turnout expected to touch record highs in Govindganj
28328,14,6,Women voters of Govindganj demand better primary healthcare and clean water
28329,14,11,Bihar Elections 2025: Key issues dominate debates in Govindganj
28330,14,36,Economic survey reports positive growth in Govindganj assembly segment
28331,14,105,Flood protection works in Govindganj inspected by state cabinet delegation
28332,14,21,Political rally in Govindganj draws massive crowds ahead of voting day
28333,14,36,Economic survey reports positive growth in Govindganj assembly segment
28334,14,74,High stakes battle in Govindganj as rival candidates file affidavits
28335,14,21,Political rally in Govindganj draws massive crowds ahead of voting day
28336,14,11,Bihar Elections 2025: Key issues dominate debates in Govindganj
28337,14,105,Flood protection works in Govindganj inspected by state cabinet delegation
28338,14,6,Women voters of Govindganj demand better primary healthcare and clean water
28339,14,36,Economic survey reports positive growth in Govindganj assembly segment
28340,14,15,Welfare scheme execution becomes election issue in Govindganj
28341,15,32,Flood protection works in Kesaria inspected by state cabinet delegation
28342,15,-1,Women voters of Kesaria demand better primary healthcare and clean water
28343,15,32,Flood protection works in Kesaria inspected by state cabinet delegation
28344,15,-1,Women voters of Kesaria demand better primary healthcare and clean water
28345,15,-1,Welfare scheme execution becomes election issue in Kesaria
28346,15,33,Economic survey reports positive growth in Kesaria assembly segment
28347,15,113,High stakes battle in Kesaria as rival candidates file affidavits
28348,15,33,Economic survey reports positive growth in Kesaria assembly segment
28349,15,32,Flood protection works in Kesaria inspected by state cabinet delegation
28350,15,4,Political rally in Kesaria draws massive crowds ahead of voting day
28351,15,-1,Women voters of Kesaria demand better primary healthcare and clean water
28352,15,4,Political rally in Kesaria draws massive crowds ahead of voting day
28353,15,-1,Women voters of Kesaria demand better primary healthcare and clean water
28354,15,4,Political rally in Kesaria draws massive crowds ahead of voting day
28355,15,-1,Independent candidates emerge as spoilers in Kesaria triangular contest
28356,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28357,131,3,Women voters of Kalyanpur demand better primary healthcare and clean water
28358,131,4,Political rally in Kalyanpur draws massive crowds ahead of voting day
28359,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28360,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28361,131,-1,Bihar Elections 2025: Key issues dominate debates in Kalyanpur
28362,131,25,Voter turnout expected to touch record highs in Kalyanpur
28363,131,1,Welfare scheme execution becomes election issue in Kalyanpur
28364,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28365,131,25,Voter turnout expected to touch record highs in Kalyanpur
28366,131,25,Voter turnout expected to touch record highs in Kalyanpur
28367,131,4,Political rally in Kalyanpur draws massive crowds ahead of voting day
28368,131,2,Independent candidates emerge as spoilers in Kalyanpur triangular contest
28369,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28370,131,1,Welfare scheme execution becomes election issue in Kalyanpur
28371,131,1,Welfare scheme execution becomes election issue in Kalyanpur
28372,131,4,Political rally in Kalyanpur draws massive crowds ahead of voting day
28373,131,3,Women voters of Kalyanpur demand better primary healthcare and clean water
28374,131,25,Voter turnout expected to touch record highs in Kalyanpur
28375,131,25,Voter turnout expected to touch record highs in Kalyanpur
28376,131,-1,Bihar Elections 2025: Key issues dominate debates in Kalyanpur
28377,131,59,High stakes battle in Kalyanpur as rival candidates file affidavits
28378,131,2,Independent candidates emerge as spoilers in Kalyanpur triangular contest
28379,131,3,Women voters of Kalyanpur demand better primary healthcare and clean water
28380,131,-1,Bihar Elections 2025: Key issues dominate debates in Kalyanpur
28381,131,-1,Bihar Elections 2025: Key issues dominate debates in Kalyanpur
28382,131,22,Economic survey reports positive growth in Kalyanpur assembly segment
28383,131,4,Political rally in Kalyanpur draws massive crowds ahead of voting day
28384,42,142,Women voters of Pipra demand better primary healthcare and clean water
28385,42,84,Economic survey reports positive growth in Pipra assembly segment
28386,42,0,Bihar Elections 2025: Key issues dominate debates in Pipra
28387,42,65,Independent candidates emerge as spoilers in Pipra triangular contest
28388,42,128,High stakes battle in Pipra as rival candidates file affidavits
28389,42,0,Bihar Elections 2025: Key issues dominate debates in Pipra
28390,42,49,Welfare scheme execution becomes election issue in Pipra
28391,42,27,Political rally in Pipra draws massive crowds ahead of voting day
28392,42,27,Political rally in Pipra draws massive crowds ahead of voting day
28393,42,0,Bihar Elections 2025: Key issues dominate debates in Pipra
28394,42,27,Political rally in Pipra draws massive crowds ahead of voting day
28395,42,142,Women voters of Pipra demand better primary healthcare and clean water
28396,42,141,Voter turnout expected to touch record highs in Pipra
28397,42,142,Women voters of Pipra demand better primary healthcare and clean water
28398,42,49,Welfare scheme execution becomes election issue in Pipra
28399,42,65,Independent candidates emerge as spoilers in Pipra triangular contest
28400,18,34,Political rally in Madhuban draws massive crowds ahead of voting day
28401,18,95,Welfare scheme execution becomes election issue in Madhuban
28402,18,95,Welfare scheme execution becomes election issue in Madhuban
28403,18,101,Bihar Elections 2025: Key issues dominate debates in Madhuban
28404,18,9,Economic survey reports positive growth in Madhuban assembly segment
28405,18,101,Bihar Elections 2025: Key issues dominate debates in Madhuban
28406,18,101,Bihar Elections 2025: Key issues dominate debates in Madhuban
28407,18,-1,Flood protection works in Madhuban inspected by state cabinet delegation
28408,18,-1,Voter turnout expected to touch record highs in Madhuban
28409,18,-1,Flood protection works in Madhuban inspected by state cabinet delegation
28410,18,-1,Voter turnout expected to touch record highs in Madhuban
28511,22,107,Independent candidates emerge as spoilers in Sheohar triangular contest
28512,22,60,Welfare scheme execution becomes election issue in Sheohar
28513,22,14,Voter turnout expected to touch record highs in Sheohar
28514,22,60,Welfare scheme execution becomes election issue in Sheohar
28515,23,19,Political rally in Riga draws massive crowds ahead of voting day
28516,23,23,High stakes battle in Riga as rival candidates file affidavits
28517,23,31,Flood protection works in Riga inspected by state cabinet delegation
28518,23,23,High stakes battle in Riga as rival candidates file affidavits
28519,23,31,Flood protection works in Riga inspected by state cabinet delegation
28520,23,19,Political rally in Riga draws massive crowds ahead of voting day
28521,23,136,Voter turnout expected to touch record highs in Riga
28522,23,69,Independent candidates emerge as spoilers in Riga triangular contest
28523,23,8,Bihar Elections 2025: Key issues dominate debates in Riga
28524,23,23,High stakes battle in Riga as rival candidates file affidavits
28525,23,23,High stakes battle in Riga as rival candidates file affidavits
28526,23,8,Bihar Elections 2025: Key issues dominate debates in Riga
28527,23,31,Flood protection works in Riga inspected by state cabinet delegation
28528,23,129,Welfare scheme execution becomes election issue in Riga
28429,19,24,Welfare scheme execution becomes election issue in Motihari
28430,19,-1,Voter turnout expected to touch record highs in Motihari
28431,19,13,Economic survey reports positive growth in Motihari assembly segment
28432,19,24,Welfare scheme execution becomes election issue in Motihari
28433,19,97,Independent candidates emerge as spoilers in Motihari triangular contest
